INFO [typing_duell::user_interface] iterating over text to type, current char: s, current index: 198
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 199
INFO [typing_duell::user_interface] iterating over text to type, current char: e, current index: 200
INFO [typing_duell::user_interface] iterating over text to type, current char: t, current index: 201
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 202
INFO [typing_duell::user_interface] iterating over text to type, current char: e, current index: 203
INFO [typing_duell::user_interface] iterating over text to type, current char: a, current index: 204
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 205
INFO [typing_duell::user_interface] iterating over text to type, current char: r, current index: 206
INFO [typing_duell::user_interface] iterating over text to type, current char: e, current index: 207
INFO [typing_duell::user_interface] iterating over text to type, current char: b, current index: 208
INFO [typing_duell::user_interface] iterating over text to type, current char: u, current index: 209
INFO [typing_duell::user_interface] iterating over text to type, current char: m, current index: 210
INFO [typing_duell::user_interface] iterating over text to type, current char: ., current index: 211
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 212
INFO [typing_duell::user_interface] iterating over text to type, current char: S, current index: 213
INFO [typing_duell::user_interface] iterating over text to type, current char: t, current index: 214
INFO [typing_duell::user_interface] iterating over text to type, current char: e, current index: 215
INFO [typing_duell::user_interface] iterating over text to type, current char: t, current index: 216
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 217
INFO [typing_duell::user_interface] iterating over text to type, current char: c, current index: 218
INFO [typing_duell::user_interface] iterating over text to type, current char: l, current index: 219
INFO [typing_duell::user_interface] iterating over text to type, current char: i, current index: 220
INFO [typing_duell::user_interface] iterating over text to type, current char: t, current index: 221
INFO [typing_duell::user_interface] iterating over text to type, current char: a, current index: 222
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 223
INFO [typing_duell::user_interface] iterating over text to type, current char: k, current index: 224
INFO [typing_duell::user_interface] iterating over text to type, current char: a, current index: 225
INFO [typing_duell::user_interface] iterating over text to type, current char: s, current index: 226
INFO [typing_duell::user_interface] iterating over text to type, current char: d, current index: 227
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 228
INFO [typing_duell::user_interface] iterating over text to type, current char: g, current index: 229
INFO [typing_duell::user_interface] iterating over text to type, current char: u, current index: 230
INFO [typing_duell::user_interface] iterating over text to type, current char: b, current index: 231
INFO [typing_duell::user_interface] iterating over text to type, current char: e, current index: 232
INFO [typing_duell::user_interface] iterating over text to type, current char: r, current index: 233
INFO [typing_duell::user_interface] iterating over text to type, current char: g, current index: 234
INFO [typing_duell::user_interface] iterating over text to type, current char: r, current index: 235
INFO [typing_duell::user_interface] iterating over text to type, current char: e, current index: 236
INFO [typing_duell::user_interface] iterating over text to type, current char: n, current index: 237
INFO [typing_duell::user_interface] iterating over text to type, current char: ,, current index: 238
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 239
INFO [typing_duell::user_interface] iterating over text to type, current char: n, current index: 240
